Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
5.682,2000,572,4605,1,40,0,453132.7,1534527,24916.79
10.03,2000,1203,9100,3,40,0,512698.8,1537222,6998.57
13.594,2001,1436,9998,3,-1,0,635800.0,1517944,31023.23
15.296,2002,964,4107,2,101,0,472303.3,1538688,19193.45
19.858,2000,504,6734,1,53,0,529860.2,1517125,4519.29
21.189,2002,616,5057,2,42,0,481778.1,1559566,18346.7
22.892,2004,1232,7153,3,33,0,535772.0,1490261,12445.95
23.274,2001,784,15238,1,48,0,513411.0,1534248,6598.45
23.371,2001,841,11118,2,76,0,479759.8,1540560,17027.51
24.792,2000,768,6752,2,50,0,530251.7,1520780,3440.06
24.881,2000,1092,6934,3,10,0,567528.8,1511812,11565.28
25.075,2000,1044,4213,2,52,0,491530.2,1577700,19384.15
25.105,2000,1357,6919,3,50,0,490528.2,1572320,18439.85
26.426,2002,759,8150,2,72,0,513795.5,1529975,6420.2
27.103,2000,803,7393,2,41,0,522172.9,1530508,3862.7
28.259,2003,1097,15001,3,51,0,481852.8,1543089,16552.25
28.961,2002,771,10124,2,16,0,528326.2,1516239,4942.84
29.248,2001,896,8214,2,46,0,526931.0,1524557,3126.21
29.686,2002,806,15972,2,72,0,522140.2,1560904,9871.44
30.143,2003,660,4910,2,43,0,530457.6,1532073,1366.91
30.146,2002,760,8697,2,32,0,507259.5,1532674,8414.13
30.585,2001,624,16950,2,42,0,470091.0,1535607,19775.47
31.093,2000,1038,4904,3,25,0,530211.4,1532214,1449.71
31.479,2005,720,6901,1,45,0,516024.1,1556314,9585.93
31.511,2003,950,7113,2,33,0,522117.6,1555871,8485.16
32.349,2000,690,13755,1,42,0,515561.9,1555986,9591.7
32.765,2000,912,14296,3,8,0,535447.2,1490619,12335.01
33.807,2002,710,7030,3,45,0,508273.8,1530565,8095.18
33.984,2001,720,7610,2,75,0,525431.6,1527984,3018.6
34.102,2000,1828,8189,4,33,0,526876.7,1524557,3139.07
35.345,2001,1021,9080,3,36,0,510780.7,1537718,7602.17
36.572,2003,912,7330,2,53,0,527639.9,1518874,4322.03
37.156,2001,704,13939,2,41,0,541683.8,1519891,4001.53
37.243,2001,1020,5405,3,42,0,518912.4,1523309,5401.26
37.645,2001,806,6809,2,53,0,517605.3,1523315,5760.87
37.699,2000,888,8059,2,33,0,515286.5,1528651,6003.26
38.29,2001,842,8645,2,41,0,465117.3,1535546,21286.36
38.385,2002,696,7787,2,43,0,565305.8,1538855,9580.1
38.615,2002,946,6533,2,32,0,467630.3,1536087,20533.83
38.675,2005,780,5004,2,57,0,530504.2,1558399,8422.69
